Periodicite,Moteur,Table,Source,Profondeur_Historique,Profondeur_Periodicite,Table_STAT,Table_GersIT,Table_Relance,Version_Source
hebdo,univers_paneliste,univers,univers_paneliste,0,,[STAT].[dbo].[UniversSemaineTest],[STAT].[dbo].[UniversSemaineTest],,
hebdo,univers_paneliste,paneliste,univers_paneliste,0,,[STAT].[dbo].[PanelisteSemaineTest],[STAT].[dbo].[PanelisteSemaineTest],,
hebdo,referentiel_presentations,referentiel_presentations,referentiel_presentations,0,,[STAT].[dbo].[ReferentielPresentationsSemaineTest],[STAT].[dbo].[ReferentielPresentationsSemaineTest],,
hebdo,achats,achats,achats,1,hebdo,[STAT].[dbo].[AchatsSemaineTest],[STAT].[dbo].[AchatsSemaineTest],,
hebdo,ventes,ventes,ventes,0,,[STAT].[dbo].[VentesSemaineTest],[STAT].[dbo].[VentesSemaineTest],[RELANCE].[dbo].[VentesSemaineTest],
hebdo,pmgtg,pmgtg,pmgtg,0,,[STAT].[dbo].[PmgtgSemaineTest],[STAT].[dbo].[PmgtgSemaineTest],,
hebdo,obsprix,obsprix,obsprix,0,,[GERS].[dbo].[FaitSemaineObservatoirePrixSO],[DW_GersIt].[so].[FaitSemaineObservatoirePrixSO],,
hebdo,poidsj,poidsj,poidsj,0,,[STAT].[dbo].[PoidsjSemaineTest],[STAT].[dbo].[PoidsjSemaineTest],,
hebdo,sox,soxhebdo,sox,0,,[GERS].[dbo].[FaitSemaineVentesUgaSog],[DW_GersIt].[sog].[FaitSemaineVentesUgaSog],,
hebdo,sox,soxhcol,sox,0,,[GERS].[dbo].[FaitSemaineVentesUgaSogCodePresCollecte],[DW_GersIt].[sog].[FaitSemaineVentesUgaSogCodePresCollecte],,
hebdo,sox,soxhcol_national,sox,0,,[STAT].[dbo].[FaitSemaineVentesUgaSogCodePresCollecteNationalTest],[STAT].[dbo].[FaitSemaineVentesUgaSogCodePresCollecteNationalTest],,
hebdo,signorm,signorm,signorm,1,hebdo,[STAT].[dbo].[SignormSemaineTest],[STAT].[dbo].[SignormSemaineTest],,
hebdo,sognow,sognow,sognow,0,,,,,
hebdo,orihebu6,orihebu6,origin,0,,[GERS].[dbo].[FaitSemaineVentesUgaOrigin],[DW_GersIt].[origin].[FaitSemaineVentesUgaOrigin],,6
hebdo,orihebh6,orihebh6,origin,0,,[GERS].[dbo].[FaitSemaineVentesUgaOriginHopital],[DW_GersIt].[origin].[FaitSemaineVentesUgaOriginHopital],,6
hebdo,orihebs6,orihebs6,origin,0,,[GERS].[dbo].[FaitSemaineVentesUgaOriginSpe],[DW_GersIt].[origin].[FaitSemaineVentesUgaOriginSpe],,6
hebdo,orihebhs6,orihebhs6,origin,0,,[GERS].[dbo].[FaitSemaineVentesUgaOriginSpeHop],[DW_GersIt].[origin].[FaitSemaineVentesUgaOriginSpeHop],,6
hebdo,orihebu7,orihebu7,origin,1,hebdo,[GERS].[dbo].[FaitSemaineVentesUgaOrigin],[DW_GersIt].[origin].[FaitSemaineVentesUgaOrigin],,7
hebdo,orihebh7,orihebh7,origin,1,hebdo,[GERS].[dbo].[FaitSemaineVentesUgaOriginHopital],[DW_GersIt].[origin].[FaitSemaineVentesUgaOriginHopital],,7
hebdo,orihebs7,orihebs7,origin,1,hebdo,[GERS].[dbo].[FaitSemaineVentesUgaOriginSpe],[DW_GersIt].[origin].[FaitSemaineVentesUgaOriginSpe],,7
hebdo,orihebhs7,orihebhs7,origin,1,hebdo,[GERS].[dbo].[FaitSemaineVentesUgaOriginSpeHop],[DW_GersIt].[origin].[FaitSemaineVentesUgaOriginSpeHop],,7
hebdo,sogsheb2,sogsheb2,origin,0,,[GERS].[dbo].[FaitSemaineVentesUgaSogSpe],[DW_GersIt].[sog].[FaitSemaineVentesUgaSogSpe],,2
hebdo,sogshopheb2,sogshopheb2,origin,0,,[GERS].[dbo].[FaitSemaineVentesUgaSogSpeHop],[DW_GersIt].[sog].[FaitSemaineVentesUgaSogSpeHop],,2
hebdo,rfsotc,rfsotc,rfsotc,0,,[STAT].[dbo].[RFSOTCTest],[STAT].[dbo].[RFSOTCTest],,
hebdo,travelling_uga,travelling_uga_uga,travelling,0,,[STAT].[tra].[TravellingUgaSemaineTest],[STAT].[tra].[TravellingUgaSemaineTest],,uga
hebdo,travelling_uga,travelling_uga_departement,travelling,0,,[STAT].[tra].[TravellingUgaSemaineTest],[STAT].[tra].[TravellingUgaSemaineTest],,departement
hebdo,travelling_uga,travelling_uga_france,travelling,0,,[STAT].[tra].[TravellingUgaSemaineTest],[STAT].[tra].[TravellingUgaSemaineTest],,france
hebdo,travelling_uga,travelling_uga_produit_uga,travelling,0,,[STAT].[tra].[TravellingUgaProduitSemaineTest],[STAT].[tra].[TravellingUgaProduitSemaineTest],,uga
hebdo,travelling_uga,travelling_uga_produit_departement,travelling,0,,[STAT].[tra].[TravellingUgaProduitSemaineTest],[STAT].[tra].[TravellingUgaProduitSemaineTest],,departement
hebdo,travelling_uga,travelling_uga_produit_france,travelling,0,,[STAT].[tra].[TravellingUgaProduitSemaineTest],[STAT].[tra].[TravellingUgaProduitSemaineTest],,france
hebdo,repart_prescripteur,repart_prescripteur_uga,travelling,0,,[STAT].[tra].[RepartPrescripteurSemaineTest],[STAT].[tra].[RepartPrescripteurSemaineTest],,uga
hebdo,repart_prescripteur,repart_prescripteur_departement,travelling,0,,[STAT].[tra].[RepartPrescripteurSemaineTest],[STAT].[tra].[RepartPrescripteurSemaineTest],,departement
