Periodicite,Moteur,Table,Source,Profondeur_Historique,Profondeur_Periodicite,Table_STAT,Table_GersIT,Table_Relance,Version_Source
mensueldebutmois,univers_paneliste,univers,univers_paneliste,0,,[STAT].[dbo].[UniversMoisTest],[STAT].[dbo].[UniversMoisTest],,2
mensueldebutmois,univers_paneliste,paneliste,univers_paneliste,0,,[STAT].[dbo].[PanelisteMoisTest],[STAT].[dbo].[PanelisteMoisTest],,2
mensueldebutmois,referentiel_presentations,referentiel_presentations,referentiel_presentations,0,,[STAT].[dbo].[ReferentielPresentationsMoisTest],[STAT].[dbo].[ReferentielPresentationsMoisTest],,2
mensueldebutmois,achats,achats,achats,0,,[STAT].[dbo].[AchatsMoisTest],[STAT].[dbo].[AchatsMoisTest],,2
mensueldebutmois,ventes,ventes,ventes,0,,[STAT].[dbo].[VentesMoisTest],[STAT].[dbo].[VentesMoisTest],,2
mensueldebutmois,sognow,sognow,sognow,0,,,,,
mensueldebutmois,stocks,stocks,stocks,0,,[STAT].[dbo].[StocksMoisTest],[STAT].[dbo].[StocksMoisTest],,
mensueldebutmois,stocks,stockx,stockx,0,,[GERS].[dbo].[FaitMoisStockNational],[DW_GersIt].[sog].[FaitMoisStockNational],,
mensueldebutmois,stocks,memosf,stockx,0,,,,,
mensueldebutmois,stocks_extrapoles,stocks_extrapoles,stocks_extrapoles,0,,[GERS].[dbo].[FaitMoisStockExtrapNational],[DW_GersIt].[sog].[FaitMoisStockExtrapNational],,
mensueldebutmois,sox,sox4,sox,0,,[GERS].[dbo].[FaitMoisVentesUgaSog],[DW_GersIt].[sog].[FaitMoisVentesUgaSog],,4
mensueldebutmois,sox,soxcol,sox,0,,[GERS].[dbo].[FaitMoisVentesUgaSogCodeCollecte],[DW_GersIt].[sog].[FaitMoisVentesUgaSogCodeCollecte],,
mensueldebutmois,sox,soxseg2,sox,0,,[GERS].[dbo].[FaitMoisVentesCohorteSog],[DW_GersIt].[sog].[FaitMoisVentesCohorteSog],,2
mensueldebutmois,sox,soxseg2_extrapolation_segment,sox,0,,,,,
mensueldebutmois,sox,soxseg2_donnee_national,sox,0,,,,,
mensueldebutmois,sox,soxcol_uga,sox,0,,,,,
mensueldebutmois,sox,soxcol_codes_null,sox,0,,,,,
mensueldebutmois,origin8,origin8,origin,0,,[GERS].[dbo].[FaitMoisVentesUgaOrigin],[DW_GersIt].[origin].[FaitMoisVentesUgaOrigin],,8
mensueldebutmois,originh8,originh8,origin,0,,[GERS].[dbo].[FaitMoisVentesUgaOriginHopital],[DW_GersIt].[origin].[FaitMoisVentesUgaOriginHopital],,8
