Periodicite,Moteur,Fichier,Extension
hebdo,univers_paneliste,secto_groupement,csv
hebdo,univers_paneliste,implantation,csv
hebdo,univers_paneliste,cegedim_sectorisations,csv
hebdo,univers_paneliste,zone_sox,csv
hebdo,univers_paneliste,liste_blanche,csv
hebdo,univers_paneliste,liste_noire,csv
hebdo,referentiel_presentations,cip_a_extrapoler,csv
hebdo,referentiel_presentations,table_pres_except,csv
hebdo,referentiel_presentations,labo_hors_panel,csv
hebdo,referentiel_presentations,labo_acl,csv
hebdo,achats,liste_entrepot,csv
hebdo,sognow,zone_sox,csv
hebdo,sox,zone_sox,csv
hebdo,sox,coefficient_grosse_pharmacie,csv
hebdo,sox,exclu_pdv_pres,csv
hebdo,travelling,nb_jours_calls,csv
hebdo,pmgtg,labo_acl,csv
hebdo,pmgtg,liste_entrepot,csv
hebdo,pmgtg,liste_pmgtg,csv
hebdo,sig_relocalise,sig_relocalise_hebdo,csv
