Periodicite,Moteur,Source,SourcePeriodicite,Profondeur
mensuel,achats,referentiel_presentations,mensuel,1
mensuel,achats,univers,mensuel,1
mensuel,ventes,referentiel_presentations,mensuel,1
mensuel,soc,ventes,mensuel,1
mensuel,soc,achats,mensuel,12
mensuel,soc,referentiel_presentations,mensuel,1
mensuel,soc,univers,mensuel,1
mensuel,sog,soc,mensuel,1
mensuel,sog,referentiel_presentations,mensuel,1
mensuel,sog,univers,mensuel,1
mensuel,sog,sox4,mensueldebutmois,1
mensuel,signorm,sog,mensuel,3
mensuel,signorm,referentiel_presentations,mensuel,3
mensuel,origin6,sog,mensuel,1
mensuel,origin6,travelling_uga_uga,mensueldebutmois,1
mensuel,origin6,travelling_uga_departement,mensueldebutmois,1
mensuel,origin6,travelling_uga_france,mensueldebutmois,1
mensuel,origin6,travelling_uga_produit_uga,mensueldebutmois,1
mensuel,origin6,travelling_uga_produit_departement,mensueldebutmois,1
mensuel,origin6,travelling_uga_produit_france,mensueldebutmois,1
mensuel,sogs2,sog,mensuel,1
mensuel,sogs2,repart_pharmacie_uga,mensueldebutmois,1
mensuel,sogs2,repart_pharmacie_departement,mensueldebutmois,1
mensuel,sogs2,repart_pharmacie_france,mensueldebutmois,1
ensuel,sogs2,repart_pharmacie_produit_uga,mensueldebutmois,1
mensuel,sogs2,repart_pharmacie_produit_departement,mensueldebutmois,1
mensuel,sogs2,repart_pharmacie_produit_france,mensueldebutmois,1
mensuel,sogshop2,sog,mensuel,1
mensuel,sogshop2,repart_pharmacie_hopital_uga,mensueldebutmois,1
mensuel,sogshop2,repart_pharmacie_hopital_departement,mensueldebutmois,1
mensuel,sogshop2,repart_pharmacie_hopital_france,mensueldebutmois,1
mensuel,sogshop2,repart_pharmacie_hopital_produit_uga,mensueldebutmois,1
mensuel,sogshop2,repart_pharmacie_hopital_produit_departement,mensueldebutmois,1
mensuel,sogshop2,repart_pharmacie_hopital_produit_france,mensueldebutmois,1
mensuel,origin7,signorm,mensuel,1
mensuel,origin7,travelling_uga_uga,mensueldebutmois,1
mensuel,origin7,travelling_uga_departement,mensueldebutmois,1
mensuel,origin7,travelling_uga_france,mensueldebutmois,1
mensuel,origin7,travelling_uga_produit_uga,mensueldebutmois,1
mensuel,origin7,travelling_uga_produit_departement,mensueldebutmois,1
mensuel,origin7,travelling_uga_produit_france,mensueldebutmois,1
mensuel,origins6,origin6,mensuel,1
mensuel,origins6,repart_prescripteur_uga,mensueldebutmois,1
mensuel,origins6,repart_prescripteur_departement,mensueldebutmois,1
mensuel,origins6,repart_prescripteur_france,mensueldebutmois,1
mensuel,origins6,repart_prescripteur_produit_uga,mensueldebutmois,1
mensuel,origins6,repart_prescripteur_produit_departement,mensueldebutmois,1
mensuel,origins6,repart_prescripteur_produit_france,mensueldebutmois,1
mensuel,originh6,origin6,mensuel,1
mensuel,originh6,travelling_etablissement_presentation,mensueldebutmois,1
mensuel,originh6,travelling_etablissement_uga,mensueldebutmois,1
mensuel,originh6,travelling_etablissement_produit_presentation,mensueldebutmois,1
mensuel,originhs6,origin6,mensuel,1
mensuel,originhs6,repart_prescripteur_hopital_uga,mensueldebutmois,1
mensuel,originhs6,repart_prescripteur_hopital_departement,mensueldebutmois,1
mensuel,originhs6,repart_prescripteur_hopital_france,mensueldebutmois,1
mensuel,originhs6,repart_prescripteur_hopital_produit_uga,mensueldebutmois,1
mensuel,originhs6,repart_prescripteur_hopital_produit_departement,mensueldebutmois,1
mensuel,originhs6,repart_prescripteur_hopital_produit_france,mensueldebutmois,1
mensuel,origins7,origin7,mensuel,1
mensuel,origins7,repart_prescripteur_uga,mensueldebutmois,1
mensuel,origins7,repart_prescripteur_departement,mensueldebutmois,1
mensuel,origins7,repart_prescripteur_france,mensueldebutmois,1
mensuel,origins7,repart_prescripteur_produit_uga,mensueldebutmois,1
mensuel,origins7,repart_prescripteur_produit_departement,mensueldebutmois,1
mensuel,origins7,repart_prescripteur_produit_france,mensueldebutmois,1
mensuel,originh7,origin7,mensuel,1
mensuel,originh7,travelling_etablissement_presentation,mensueldebutmois,1
mensuel,originh7,travelling_etablissement_uga,mensueldebutmois,1
mensuel,originh7,travelling_etablissement_produit_presentation,mensueldebutmois,1
mensuel,originhs7,origin7,mensuel,1
mensuel,originhs7,repart_prescripteur_hopital_uga,mensueldebutmois,1
mensuel,originhs7,repart_prescripteur_hopital_departement,mensueldebutmois,1
mensuel,originhs7,repart_prescripteur_hopital_france,mensueldebutmois,1
mensuel,originhs7,repart_prescripteur_hopital_produit_uga,mensueldebutmois,1
mensuel,originhs7,repart_prescripteur_hopital_produit_departement,mensueldebutmois,1
mensuel,originhs7,repart_prescripteur_hopital_produit_france,mensueldebutmois,1
mensuel,pdv_indic,univers,mensuel,1
mensuel,pdv_indic,achats,mensuel,1
mensuel,pdv_indic,pmgtg,hebdo,1
mensuel,pdv_indic,sog,mensuel,12
mensuel,pdv_indic,soc,mensuel,12
mensuel,sig_relocalise,rfsotc,hebdo,5
