Schema,Name,base_object_name
app,TraitementPeriode,[DW_GersIt].[app].[TraitementPeriode]
app,Traitement,[DW_GersIt].[app].[Traitement]
app,EtapeTraitement,[DW_GersIt].[app].[EtapeTraitement]
app,TraitementCollecteFichierSI,[DW_GersIt].[app].[TraitementCollecteFichierSI]
app,TraitementSynchronisationDonneesPython,[DW_GersIt].[app].[TraitementSynchronisationDonneesPython]
bcb,CorrespondanceClePresentation,[BCB].[bcb].[CorrespondanceClePresentation]
bcbxml,produits_donnees_tech_reg,[BCB].[bcbxml].[produits_donnees_tech_reg]
commun,CompositionPresentoirQteTotal,[DW_GersIt].[commun].[CompositionPresentoirQteTotal]
commun,CorrespondanceCodesPresCalcule,[DW_GersIt].[commun].[CorrespondanceCodesPresCalcule]
commun,CorrespondanceCodesPresentation,[DW_GersIt].[commun].[CorrespondanceCodesPresentation]
commun,DimDate,[DW_GersIt].[commun].[DimDate]
commun,DimDepartement,[DW_GersIt].[commun].[DimDepartement]
commun,LienPointDeVenteCohorte,[DW_GersIt].[commun].[LienPointDeVenteCohorte]
commun,ListeDelivranceFractionnee,[DW_GersIt].[commun].[ListeDelivranceFractionnee]
onekey,DimEtablissement,[DW_GersIt].[onekey].[DimEtablissement]
onekey,DimIndividu,[DW_GersIt].[onekey].[DimIndividu]
onekey,DimSpecialiteEtablissement,[DW_GersIt].[onekey].[DimSpecialiteEtablissement]
onekey,DimSpecialiteIndividu,[DW_GersIt].[onekey].[DimSpecialiteIndividu]
onekey,LienIndividuEtablissement,[DW_GersIt].[onekey].[LienIndividuEtablissement]
onekey,DimTypeEtablissement,[DW_GersIt].[onekey].[DimTypeEtablissement]
si,DimClasseEphmra,[DW_GersIt].[si].[DimClasseEphmra]
si,DimFournisseurDeDonnees,[DW_GersIt].[si].[DimFournisseurDeDonnees]
si,DimGammeMarqueBCB,[DW_GersIt].[si].[DimGammeMarqueBCB]
si,DimLaboFabricant,[DW_GersIt].[si].[DimLaboFabricant]
si,DimPointDeVenteSI,[DW_GersIt].[si].[DimPointDeVenteSI]
si,DimPresentation,[DW_GersIt].[si].[DimPresentation]
si,DimPresentationGERS,[DW_GersIt].[si].[DimPresentationGERS]
si,DimTrancheUrbaine,[DW_GersIt].[si].[DimTrancheUrbaine]
si,DimTypeProduitGERS,[DW_GersIt].[si].[DimTypeProduitGERS]
si,DimTypePointDeVente,[DW_GersIt].[si].[DimTypePointDeVente]
si,DimUGA,[DW_GersIt].[si].[DimUGA]
si,FaitJourAchat,[DW_GersIt].[si].[FaitJourAchat]
si,FaitMoisAchat,[DW_GersIt].[si].[FaitMoisAchat]
si,FaitMoisPrixFabricantSI,[DW_GersIt].[si].[FaitMoisPrixFabricantSI]
si,FaitSemaineAchat,[DW_GersIt].[si].[FaitSemaineAchat]
si,LienMoisPointDeVenteSIFige,[DW_GersIt].[si].[LienMoisPointDeVenteSIFige]
si,LienMoisPresentationFige,[DW_GersIt].[si].[LienMoisPresentationFige]
so,DimFactureSO,[DW_GersIt].[so].[DimFactureSO]
so,DimLogiciel,[DW_GersIt].[so].[DimLogiciel]
so,DimPointDeVenteSO,[DW_GersIt].[so].[DimPointDeVenteSO]
so,FaitLigneFactureSO,[DW_GersIt].[so].[FaitLigneFactureSO]
so,FaitMoisFactureSO,[DW_GersIt].[so].[FaitMoisFactureSO]
so,FaitMoisPrixMedianSO,[DW_GersIt].[so].[FaitMoisPrixMedianSO]
so,FaitSemainePrixMedianSO,[DW_GersIt].[so].[FaitSemainePrixMedianSO]
so,LienFacturePrescripteurSO,[DW_GersIt].[so].[LienFacturePrescripteurSO]
so,LienMoisPointDeVenteSOFige,[DW_GersIt].[so].[LienMoisPointDeVenteSOFige]
so,LienSemainePointDeVenteSOFige,[DW_GersIt].[so].[LienSemainePointDeVenteSOFige]
sog,FaitSemaineVentesUgaSog,[DW_GersIt].[sog].[FaitSemaineVentesUgaSog]
sog,FaitMoisVentesUgaSog,[DW_GersIt].[sog].[FaitMoisVentesUgaSog]
commun,CorrespondanceCodesPresCalculeReferent,[DW_GersIt].[commun].[CorrespondanceCodesPresCalculeReferent]
commun,DimSpecialiteGers,[DW_GersIt].[commun].[DimSpecialiteGers]
commun,DimPrixPresentation,[DW_GersIt].[commun].[DimPrixPresentation]
qp,memo_s2,[SAUV_GersIt].[so].[memo_s2]
qp,memo_s5,[SAUV_GersIt].[so].[memo_s5]
qp,memo_s6,[SAUV_GersIt].[so].[memo_s6]
qp,memo_s7,[SAUV_GersIt].[so].[memo_s7]
qp,memo_v2,[SAUV_GersIt].[so].[memo_v2]
qp,memo_v5,[SAUV_GersIt].[so].[memo_v5]
qp,memo_v6,[SAUV_GersIt].[so].[memo_v6]
qp,memo_v7,[SAUV_GersIt].[so].[memo_v7]
so,ListeReport,[TMP_GersIt].[so].[ListeReport]
